Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10001,15.1,145.4786,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0086,11.8,115.3492,5
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0259,13.85,165.021,5
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.04228,12.15,126.5046,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03397,19.6,55.1614,5
low fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00551,8.89,102.4016,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.09831,11.8,81.4618,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0269,19.7,96.0726,5
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.02413,20.75,124.173,5
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10156,,181.9292,5
LF,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08455,,109.8912,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05204,18.85,192.1846,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12894,17.1,112.3886,5
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.09049,16.35,195.211,5
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03293,,173.1738,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0188,20.25,222.1772,5
